id,first_name,last_name,Job_title,salary,job_type,active,avatar
a2092a07-8914-4589-b76f-f2810fd7c93a,Osbourne,Ternent,Professor,6109,full time,true,https://robohash.org/veniamearumimpedit.png?size=50x50&set=set1
189d1cd5-595b-452e-babb-f584126e1fea,Ignace,Kobpac,Structural Engineer,8632,full time,false,https://robohash.org/temporaquasoptio.jpg?size=50x50&set=set1
4fa8e266-0f6d-43f6-8916-63418f2ee120,Birgitta,Michieli,Account Executive,1191,partial time,false,https://robohash.org/velittemporaet.jpg?size=50x50&set=set1
de890113-0737-43ae-88bb-b45ccd5d857c,Jeanne,Simenot,Administrative Officer,8399,eventual,false,https://robohash.org/iureeaqueminus.jpg?size=50x50&set=set1
120cb449-dc13-411e-aaa9-6d64452ee221,Wallas,Beckinsall,Nuclear Power Engineer,4427,full time,true,https://robohash.org/nihiltemporecumque.jpg?size=50x50&set=set1
3d83e661-20f7-48f7-b53e-11b1c382ad7c,Jodie,Philippart,Librarian,9841,partial time,true,https://robohash.org/quibusdammollitiacum.bmp?size=50x50&set=set1
3f0825d9-934f-4524-98e4-a76303eab73f,Karine,Reynish,Product Engineer,7974,partial time,false,https://robohash.org/nobissinttempora.png?size=50x50&set=set1
52bb6e3c-12b2-4fb8-a531-d8baeec55ddf,Ashlie,Ellaway,Pharmacist,8858,eventual,false,https://robohash.org/nonharumet.png?size=50x50&set=set1
c0592104-2309-4168-bf6a-e77dab4696e5,Tobey,Yersin,Registered Nurse,9581,full time,false,https://robohash.org/dolorummolestiasveniam.png?size=50x50&set=set1
75c63c01-11e3-45a9-9ec9-caeb547ac30a,Florence,McNirlin,Software Consultant,7586,eventual,false,https://robohash.org/quidemrepudiandaeest.bmp?size=50x50&set=set1
8fffcfd0-361c-486a-bc22-d9779f73d06a,Karl,Tripe,Assistant Media Planner,8694,partial time,false,https://robohash.org/etdoloreaccusamus.jpg?size=50x50&set=set1
30706931-4368-4946-8d95-c1ef7915ff93,Cal,Bedingfield,Research Nurse,6650,full time,true,https://robohash.org/animimolestiaeillum.png?size=50x50&set=set1
dc0783c8-f4dd-4801-b564-836ee16e6723,Ashby,Thewless,General Manager,6596,eventual,false,https://robohash.org/nihilbeataemaxime.jpg?size=50x50&set=set1
20cf8a2e-7c01-4fd4-b428-1ff82c9c2611,Jesus,Moynham,Graphic Designer,5947,partial time,false,https://robohash.org/quialiberoest.png?size=50x50&set=set1
df119f38-4454-46af-b935-b3ea276c0c6c,Cathleen,Woloschinski,Associate Professor,7687,full time,false,https://robohash.org/eaitaquereprehenderit.bmp?size=50x50&set=set1
afaea09c-a10e-40ae-9559-de96eb1ada21,Abelard,Gyppes,GIS Technical Architect,7154,eventual,false,https://robohash.org/laboriosamnammagni.jpg?size=50x50&set=set1
d25746de-6b3c-4a43-8b23-0c64a40f5bd6,Winfred,Bullingham,Developer III,525,partial time,false,https://robohash.org/debitisnesciuntest.jpg?size=50x50&set=set1
efa93d0f-89a3-4511-8129-c212594a9b19,Farrah,Piwell,Recruiting Manager,8678,eventual,true,https://robohash.org/illoinciduntest.jpg?size=50x50&set=set1
97f2d7b7-e89c-4fa9-b9cf-bde1f4a0d8ab,Harlene,Khomich,Geologist III,8423,partial time,true,https://robohash.org/sedvelitconsequuntur.bmp?size=50x50&set=set1
d2676193-3e29-40e6-bc87-82045b74d9b9,Giff,Fell,Mechanical Systems Engineer,478,partial time,true,https://robohash.org/recusandaemolestiaenihil.jpg?size=50x50&set=set1
e41c88fb-8260-49b4-b4a9-389091bf38d2,Hamish,Mignot,Senior Financial Analyst,4841,eventual,true,https://robohash.org/eavoluptatecupiditate.jpg?size=50x50&set=set1
